Identificador de Simulacion,Numero de Agentes Deseados,Numero de Agentes Creados,Numero de Cajas,Coordenada x de Zona de Descarga,Coordenada y de Zona de Descarga,Coordenada z de Zona de Descarga,Coordenada x de Zona de Recoleccion,Coordenada y de Zona de Recoleccion,Coordenada z de Zona de Recoleccion,Distancia Minima entre Agentes,Tiempo Total de Simulacion
0,10,8,25,-320.0,0.0,-320.0,-160.0,0.0,-160.0,65,0:01:05.287179
1,10,8,25,-160.0,0.0,-160.0,0.0,0.0,0.0,65,0:01:03.841326
2,10,10,25,0.0,0.0,-160.0,0.0,0.0,160.0,65,0:01:19.475178
3,10,10,25,-320.0,0.0,-160.0,160.0,0.0,160.0,65,0:02:15.745379
4,10,10,25,-320.0,0.0,0.0,320.0,0.0,320.0,65,0:02:53.151729
5,10,10,25,160.0,0.0,-320.0,320.0,0.0,160.0,65,0:01:43.733434
6,10,10,25,-160.0,0.0,-320.0,0.0,0.0,320.0,65,0:02:14.410200
7,10,10,25,-320.0,0.0,160.0,320.0,0.0,-160.0,65,0:02:54.115954
8,10,10,25,160.0,0.0,0.0,320.0,0.0,-320.0,65,0:01:22.364589
9,10,10,25,0.0,0.0,-320.0,160.0,0.0,320.0,65,0:02:17.263011
10,10,10,25,-320.0,0.0,320.0,160.0,0.0,-160.0,65,0:02:50.373445
11,10,10,25,320.0,0.0,-160.0,160.0,0.0,160.0,65,0:01:19.733296
