Identificador de Simulacion,Numero de Agentes Deseados,Numero de Agentes Creados,Numero de Cajas,Coordenada x de Zona de Descarga,Coordenada y de Zona de Descarga,Coordenada z de Zona de Descarga,Coordenada x de Zona de Recoleccion,Coordenada y de Zona de Recoleccion,Coordenada z de Zona de Recoleccion,Distancia Minima entre Agentes,Tiempo Total de Simulacion
0,5,5,25,-160.0,0.0,-160.0,160.0,0.0,160.0,50,0:01:36.615881
1,6,6,25,-160.0,0.0,-160.0,160.0,0.0,160.0,50,0:01:45.669821
2,7,7,25,-160.0,0.0,-160.0,160.0,0.0,160.0,50,0:01:38.065384
3,8,8,25,-160.0,0.0,-160.0,160.0,0.0,160.0,50,0:01:41.598804
4,9,9,25,-160.0,0.0,-160.0,160.0,0.0,160.0,50,0:01:36.022082
5,10,10,25,-160.0,0.0,-160.0,160.0,0.0,160.0,50,0:01:30.443856
6,15,15,25,-160.0,0.0,-160.0,160.0,0.0,160.0,50,0:01:54.881273
7,20,20,25,-160.0,0.0,-160.0,160.0,0.0,160.0,50,0:02:36.663196
8,25,23,25,-160.0,0.0,-160.0,160.0,0.0,160.0,50,0:03:32.022705
9,30,23,25,-160.0,0.0,-160.0,160.0,0.0,160.0,50,0:04:00.660795
10,35,23,25,-160.0,0.0,-160.0,160.0,0.0,160.0,50,0:04:37.304925
11,40,23,25,-160.0,0.0,-160.0,160.0,0.0,160.0,50,0:05:36.282978
12,45,23,25,-160.0,0.0,-160.0,160.0,0.0,160.0,50,0:06:22.777276
13,50,23,25,-160.0,0.0,-160.0,160.0,0.0,160.0,50,0:07:10.251548
14,55,23,25,-160.0,0.0,-160.0,160.0,0.0,160.0,50,0:08:22.233148


